DbtrAcct_Id,CdtrAcct_Id,UltmtDbtr_Id,UltmtCdtr_Id,IntrBkSttlmAmt,Ccy,IntrBkSttlmDt,SttlmMtd,Dbtr_Nm,Cdtr_Nm,UltmtDbtr_Nm,UltmtCdtr_Nm,Dbtr_Ctry,Cdtr_Ctry,Dbtr_Industry,Cdtr_Industry,Dbtr_SubIndustry,Cdtr_SubIndustry,risk_label,geo_label,expense_label,recurrence_label,group_id
7I8H0BY5,DQ1VP4UW,F52K9X,V53MRY,10485.1,PHP,2023-05-03,INGA,Vertex Pte Travel,Harbor GmbH Sales Travel,Vertex Pte,Harbor GmbH Sales,PH,FR,Energy,Financial,Utilities,Banks,Medium,International,Other,No,1
7I8H0BY5,DQ1VP4UW,F52K9X,V53MRY,14802.75,PHP,2023-06-30,CLRG,Vertex Pte Travel,Harbor GmbH Sales Travel,Vertex Pte,Harbor GmbH Sales,PH,FR,Energy,Financial,Utilities,Banks,Medium,International,Other,No,1
7I8H0BY5,DQ1VP4UW,F52K9X,V53MRY,9774.45,PHP,2023-05-23,Swift,Vertex Pte Travel,Harbor GmbH Sales Travel,Vertex Pte,Harbor GmbH Sales,PH,FR,Energy,Financial,Utilities,Banks,Medium,International,Other,No,1
7I8H0BY5,DQ1VP4UW,F52K9X,V53MRY,21058.36,PHP,2023-06-24,CLRG,Vertex Pte Travel,Harbor GmbH Sales Travel,Vertex Pte,Harbor GmbH Sales,PH,FR,Energy,Financial,Utilities,Banks,Low,International,Other,No,1
7I8H0BY5,DMAHXBHM,F52K9X,6MYFNL,39971.68,PHP,2023-04-20,COVE,Vertex Pte Travel,Lumen Inc Services Holdings,Vertex Pte,Lumen Inc Services,PH,BR,Energy,Technology,Utilities,Software,Low,International,Technology,No,2
7I8H0BY5,DMAHXBHM,F52K9X,6MYFNL,42537.44,PHP,2023-04-21,Swift,Vertex Pte Travel,Lumen Inc Services Holdings,Vertex Pte,Lumen Inc Services,PH,BR,Energy,Technology,Utilities,Software,Low,International,Technology,No,2
7I8H0BY5,DMAHXBHM,F52K9X,6MYFNL,68732.01,PHP,2023-04-24,CLRG,Vertex Pte Travel,Lumen Inc Services Holdings,Vertex Pte,Lumen Inc Services,PH,BR,Energy,Technology,Utilities,Software,Medium,International,Technology,No,2
7I8H0BY5,DMAHXBHM,F52K9X,6MYFNL,41394.08,PHP,2023-04-16,Local,Vertex Pte Travel,Lumen Inc Services Holdings,Vertex Pte,Lumen Inc Services,PH,BR,Energy,Technology,Utilities,Software,Low,International,Technology,No,2
7I8H0BY5,DMAHXBHM,F52K9X,6MYFNL,50458.77,PHP,2023-04-03,OnUs,Vertex Pte Travel,Lumen Inc Services Holdings,Vertex Pte,Lumen Inc Services,PH,BR,Energy,Technology,Utilities,Software,Medium,International,Technology,No,2
7I8H0BY5,ZC2QQHM0,F52K9X,6JKRGS,3218.5,PHP,2023-11-16,CLRG,Vertex Pte Travel,Lumen PLC Travel Ops,Vertex Pte,Lumen PLC Travel,PH,JP,Energy,Financial,Utilities,Banks,Medium,Asia,Other,No,3
